12/02/2022 05:53:38 PM FEED MONEY:  2.0 2.0
12/02/2022 05:53:38 PM GIVE CHANGE:  2.0 0.0
12/02/2022 06:27:31 PM FEED MONEY:  10.0 10.0
12/02/2022 06:28:11 PM FEED MONEY:  10.0 10.0
12/02/2022 06:33:34 PM FEED MONEY:  10.0 10.0
12/02/2022 06:42:23 PM FEED MONEY:  10.0 10.0
12/02/2022 06:42:43 PM FEED MONEY:  10.0 10.0
12/02/2022 06:43:16 PM FEED MONEY:  10.0 10.0
12/02/2022 06:43:47 PM FEED MONEY:  10.0 10.0
12/02/2022 06:44:16 PM FEED MONEY:  10.0 10.0
12/02/2022 06:45:56 PM FEED MONEY:  10.0 10.0
12/02/2022 06:46:29 PM FEED MONEY:  10.0 10.0
12/02/2022 06:46:51 PM FEED MONEY:  10.0 10.0
12/02/2022 06:48:39 PM FEED MONEY:  10.0 10.0
12/02/2022 06:50:24 PM FEED MONEY:  10.0 10.0
12/02/2022 06:57:45 PM FEED MONEY:  10.0 10.0
